DriftStartIndex,DriftEndIndex,DriftDuration,DriftJulDate,DriftStartLight,DriftEndLight,DriftAvgLight,DriftStartDepth,DriftEndDepth,DriftAvgDepth,DriftStartGMT,DiveStartLight,DriftRate,TOPPID,DaysSinceDeparture,SmoothSunriseHour,HoursSinceSunrise,SmoothSunsetHour,HoursSinceSunset,SmoothDaylength,TimeOfDay,Col
33,118,680,732160.8036,68,69,54.1732746,311,275,380.6226138,19.28556,198,-0.225,2004018,64.77231456,15.41847337,3.86708663,6.751266201,12.5342938,15.35043916,Day,yellow4
27,126,792,732160.826,75,20,57.96343001,290.5,700,414.8820933,19.823328,195,-0.215,2004018,64.794722,15.41847337,4.40485463,6.751266201,13.0720618,15.35043916,Day,yellow4
26,95,552,732160.9838,87,151,77.73056058,268,18,275.1030741,23.61,204,-0.23,2004018,64.95250041,15.41847337,8.19152663,6.751266201,16.8587338,15.35043916,Day,yellow4
28,77,392,732161.0004,80,88,77.17302799,296,250.5,274.7798982,0.010008,197,-0.215,2004018,64.96916659,15.41847337,-15.40846537,6.751266201,-6.741258201,15.35043916,Day,yellow4
26,91,520,732161.0178,87,23,65.99808061,268,637,325.0863724,0.427776,186,-0.225,2004018,64.98657441,15.41847337,-14.99069737,6.751266201,-6.323490201,15.35043916,Day,yellow4
28,99,568,732161.0373,81,47,60.42706503,282,393.5,376.6353251,0.894456,186,-0.2,2004018,65.00601859,15.41847337,-14.52401737,6.751266201,-5.856810201,15.35043916,Day,yellow4
28,104,608,732161.7016,66,33,64.00328407,270.5,363.5,263.3284072,16.83888,168,-0.215,2004018,65.67037059,15.4394621,1.3994179,6.740020461,10.09885954,15.32154709,Day,yellow4
28,118,720,732161.7323,71,55,62.4257975,269,362.5,287.1074896,17.574456,181,-0.245,2004018,65.70101859,15.4394621,2.1349939,6.740020461,10.83443554,15.32154709,Day,yellow4
25,110,680,732161.7486,77,29,66.7856094,257,622,285.1409692,17.96556,184,-0.225,2004018,65.71731481,15.4394621,2.5260979,6.740020461,11.22553954,15.32154709,Day,yellow4
26,91,520,732161.7668,79,21,64.18234165,260,703,320.4318618,18.403344,194,-0.24,2004018,65.73555541,15.4394621,2.9638819,6.740020461,11.66332354,15.32154709,Day,yellow4
28,124,768,732161.7851,76,18,58.0260078,282,675,407.9486346,18.843336,173,-0.205,2004018,65.75388859,15.4394621,3.4038739,6.740020461,12.10331554,15.32154709,Day,yellow4
31,85,432,732161.9358,79,55,76.30946882,303,384,285.6050808,22.458888,192,-0.205,2004018,65.90453737,15.4394621,7.0194259,6.740020461,15.71886754,15.32154709,Day,yellow4
30,89,472,732161.9527,81,54,77.76109937,297,380.5,290.4059197,22.865544,195,-0.22,2004018,65.92148178,15.4394621,7.4260819,6.740020461,16.12552354,15.32154709,Day,yellow4
22,73,408,732163.7091,83,25,88.25672372,191.5,382,181.9437653,17.01888,172,-0.23,2004018,67.67787004,15.4866159,1.5322641,6.715081675,10.30379833,15.25459304,Day,yellow4
26,105,632,732163.7396,81,75,65.58293839,227.5,251,267.7962085,17.749992,186,-0.235,2004018,67.70833341,15.4866159,2.2633761,6.715081675,11.03491033,15.25459304,Day,yellow4
48,124,608,732163.7579,63,70,54.34811166,295,298,309.4499179,18.190008,194,-0.235,2004018,67.72666644,15.4866159,2.7033921,6.715081675,11.47492633,15.25459304,Day,yellow4
30,148,944,732163.7759,73,98,58.9015873,272.5,157.5,329.2312169,18.62112,184,-0.21,2004018,67.74462978,15.4866159,3.1345041,6.715081675,11.90603833,15.25459304,Day,yellow4
28,126,784,732163.7984,76,20,56.47515924,267,667,363.9248408,19.16112,193,-0.23,2004018,67.76712959,15.4866159,3.6745041,6.715081675,12.44603833,15.25459304,Day,yellow4
30,144,912,732163.821,71,57,60.50054765,291.5,369.5,387.9134721,19.703328,194,-0.215,2004018,67.78972178,15.4866159,4.2167121,6.715081675,12.98824633,15.25459304,Day,yellow4
34,108,592,732163.9434,74,39,62.62394604,304,344.5,308.1720067,22.64112,200,-0.215,2004018,67.91212915,15.4866159,7.1545041,6.715081675,15.92603833,15.25459304,Day,yellow4
29,117,704,732163.9687,75,16,54.4070922,292,619.5,389.9737589,23.247768,150,-0.215,2004018,67.93740719,15.4866159,7.7611521,6.715081675,16.53268633,15.25459304,Day,yellow4
31,121,720,732164.1641,60,17,57.11789182,290.5,606,314.3016644,3.93888,185,-0.215,2004018,68.13287037,15.4866159,-11.5477359,6.715081675,-2.776201675,15.25459304,Day,yellow4
28,134,848,732164.7338,72,27,74.15547703,231.5,380,243.7290931,17.61,174,-0.24,2004018,68.70249959,15.51277713,2.09722287,6.704090762,10.90590924,15.21747486,Day,yellow4
31,137,848,732164.7825,74,56,70.38751472,250,349,267.4157833,18.778896,188,-0.215,2004018,68.75120337,15.51277713,3.26611887,6.704090762,12.07480524,15.21747486,Day,yellow4
29,129,800,732165.7729,68,43,57.28214732,265.5,302.5,303.1086142,18.550008,180,-0.22,2004018,69.74166619,15.54030988,3.00969812,6.69311084,11.85689716,15.18033371,Day,yellow4
29,139,880,732165.82,72,18,54.82292849,279,644.5,366.0567537,19.681104,182,-0.205,2004018,69.78879619,15.54030988,4.14079412,6.69311084,12.98799316,15.18033371,Day,yellow4
28,118,720,732165.8456,71,96,56.16504854,267.5,149.5,382.09362,20.294448,187,-0.205,2004018,69.81435159,15.54030988,4.75413812,6.69311084,13.60133716,15.18033371,Day,yellow4
28,102,592,732166.7286,71,58,59.26644182,239,307,278.005059,17.48556,175,-0.22,2004018,70.69731459,15.5676292,1.9179308,6.682430863,10.80312914,15.14212098,Day,yellow4
28,151,984,732166.7506,77,18,69.70050761,237.5,619.5,282.5060914,18.014448,181,-0.235,2004018,70.71935159,15.5676292,2.4468188,6.682430863,11.33201714,15.14212098,Day,yellow4
23,105,656,732167.7179,85,140,58.04870624,207.5,49.5,323.3805175,17.230008,143,-0.22,2004018,71.68666663,15.59544471,1.63456329,6.671787122,10.55822088,15.10415792,Day,yellow4
